FAST,FEATURE,MODE,SLOW,accuracy,ap,auroc,base_rate,f1,threshold
0.8,surprisal,area,0.1,0.6860254083484574,0.40106636288096964,0.7155546188124774,0.20689655172413793,0.47416413373860183,5.5804227526511205
0.8,surprisal,area,0.2,0.7259528130671506,0.40166718023455916,0.719077441888474,0.20689655172413793,0.48464163822525597,5.760286554567412
0.8,surprisal,area,0.3,0.7295825771324864,0.4004535531205901,0.7184150307117909,0.20689655172413793,0.4844290657439446,4.901506037774827
1.0,entropy,max_gap,0.02,0.6152450090744102,0.3687651700141405,0.6833674575454655,0.20689655172413793,0.43010752688172044,1.0716081509568425
1.0,entropy,max_gap,0.05,0.7168784029038112,0.3695503384219866,0.7023565779437151,0.20689655172413793,0.44285714285714284,1.3087416888679124
1.0,entropy,max_gap,0.1,0.73502722323049,0.3703562021912927,0.7107671925809949,0.20689655172413793,0.4552238805970149,1.2642914937962844
1.0,entropy,max_gap,0.2,0.7114337568058077,0.3758014172901655,0.7187361997671524,0.20689655172413793,0.4682274247491639,1.068214381722195
1.0,entropy,max_gap,0.3,0.7477313974591652,0.37870227622315256,0.7208639447589225,0.20689655172413793,0.4714828897338403,0.9872713873760055
1.0,entropy,area,0.02,0.6987295825771325,0.38835730964897314,0.7084587899955839,0.20689655172413793,0.4503311258278146,6.146231010032864
1.0,entropy,area,0.05,0.6969147005444646,0.4066282431597448,0.7191978802842346,0.20689655172413793,0.46984126984126984,5.867191855375594
1.0,entropy,area,0.1,0.6950998185117967,0.414135215406991,0.7242964390380987,0.20689655172413793,0.4716981132075472,5.365840045678034
1.0,entropy,area,0.2,0.6497277676950998,0.41189564872940415,0.7263438917660283,0.20689655172413793,0.47696476964769646,3.5142248702607572
1.0,entropy,area,0.3,0.6588021778584392,0.4090857879079067,0.7272873258661527,0.20689655172413793,0.4777777777777778,3.225819868096979
1.0,surprisal,max_gap,0.02,0.6188747731397459,0.34011794145709034,0.6830061423581838,0.20689655172413793,0.4444444444444444,2.2193626916149327
1.0,surprisal,max_gap,0.05,0.6061705989110708,0.3437959895973889,0.689198683206873,0.20689655172413793,0.442159383033419,2.10777776783557
1.0,surprisal,max_gap,0.1,0.6842105263157895,0.3448845811899912,0.6905937612910996,0.20689655172413793,0.4423076923076923,2.8293086981864213
1.0,surprisal,max_gap,0.2,0.6805807622504537,0.34175155517054784,0.6896503271909752,0.20689655172413793,0.4394904458598726,2.4704665111502537
1.0,surprisal,max_gap,0.3,0.6787658802177858,0.33992065911832187,0.6896302541250151,0.20689655172413793,0.4416403785488959,2.129411124400136
1.0,surprisal,area,0.02,0.7078039927404719,0.39186557987084536,0.7004295636115461,0.20689655172413793,0.45791245791245794,9.582278485471534
1.0,surprisal,area,0.05,0.7168784029038112,0.4023503948235801,0.7107772291139749,0.20689655172413793,0.46938775510204084,9.277907232721704
1.0,surprisal,area,0.1,0.7186932849364791,0.40257873420113854,0.716748966237103,0.20689655172413793,0.4781144781144781,8.355384933842856
1.0,surprisal,area,0.2,0.7223230490018149,0.39944119071799183,0.7187361997671524,0.20689655172413793,0.48135593220338985,7.398651117328377
1.0,surprisal,area,0.3,0.7096188747731398,0.4002168590581877,0.7178730579308683,0.20689655172413793,0.4805194805194805,6.046317753762724
