ALPHA,FEATURE,FLOOR,MIX,accuracy,ap,auroc,base_rate,f1,threshold
0.5,entropy,0.5,0.75,0.7404718693284936,0.4388302833968152,0.7597153639246859,0.20689655172413793,0.5119453924914675,0.6346397809016633
0.5,entropy,0.5,1.0,0.7441016333938294,0.40116756110567076,0.7420912120117227,0.20689655172413793,0.5087108013937283,0.7974103555014482
0.5,entropy,1.0,0.0,0.7568058076225045,0.4819512284222114,0.756995463487093,0.20689655172413793,0.5144927536231884,0.023828241426010546
0.5,entropy,1.0,0.25,0.7749546279491834,0.4837773773449676,0.770765586735718,0.20689655172413793,0.5303030303030303,0.17182804938879237
0.5,entropy,1.0,0.5,0.7114337568058077,0.4588257771017535,0.7606688345577903,0.20689655172413793,0.5107692307692308,0.19120489147326022
0.5,entropy,1.0,0.75,0.7241379310344828,0.42400946070492795,0.74998996346702,0.20689655172413793,0.5064935064935064,0.2929259590202215
0.5,entropy,1.0,1.0,0.720508166969147,0.396207353663874,0.7403348187402143,0.20689655172413793,0.5064102564102564,0.37472032511366066
0.5,surprisal,0.0,0.0,0.6533575317604355,0.4063004048764105,0.7254004576659039,0.20689655172413793,0.4709141274238227,0.1823816443399193
0.5,surprisal,0.0,0.25,0.6860254083484574,0.4101163184929974,0.7208037255610422,0.20689655172413793,0.4676923076923077,0.7342677926002852
0.5,surprisal,0.0,0.5,0.6388384754990926,0.37973215488292195,0.703601108033241,0.20689655172413793,0.4456824512534819,1.0378244065562163
