ALPHA,FEATURE,FLOOR,MIN_OBS,MODE,N,accuracy,ap,auroc,base_rate,f1,threshold
0.35,surprisal,1.0,2,ewma_max,10,0.6551724137931034,0.3632300219816732,0.708037255610422,0.20689655172413793,0.4602272727272727,1.2783101101720467
0.5,entropy,0.25,2,max,3,0.6515426497277677,0.3630983186503445,0.6935244289212734,0.20689655172413793,0.4418604651162791,5.267066289110915
0.5,entropy,0.25,2,max,5,0.6098003629764065,0.3246851766775376,0.6645991408727769,0.20689655172413793,0.42048517520215634,4.846388851120652
0.5,entropy,0.25,2,max,10,0.5226860254083484,0.31543415292309784,0.6502468987113091,0.20689655172413793,0.4036281179138322,4.222375627206149
0.5,entropy,0.25,2,ewma_final,3,0.5444646098003629,0.3369445819771795,0.6640772411578144,0.20689655172413793,0.425629290617849,0.8441353701192377
0.5,entropy,0.25,2,ewma_final,5,0.558983666061706,0.30769104673858305,0.6564896222248986,0.20689655172413793,0.42280285035629456,0.839786033157945
0.5,entropy,0.25,2,ewma_final,10,0.573502722323049,0.3144668028657385,0.6502669717772692,0.20689655172413793,0.41975308641975306,0.8798081218326439
0.5,entropy,0.25,2,ewma_max,3,0.6007259528130672,0.35924991857321403,0.6941667670319964,0.20689655172413793,0.4472361809045226,2.7085763331481685
0.5,entropy,0.25,2,ewma_max,5,0.5898366606170599,0.32564667351063414,0.6819623429282589,0.20689655172413793,0.4292929292929293,2.778672162752424
0.5,entropy,0.25,2,ewma_max,10,0.5952813067150635,0.350091646528081,0.6808181781685335,0.20689655172413793,0.4177545691906005,2.8673083143741107
0.5,entropy,0.5,2,max,3,0.7459165154264973,0.38698330712156076,0.727969810108796,0.20689655172413793,0.4696969696969697,3.3654041116635858
0.5,entropy,0.5,2,max,5,0.7096188747731398,0.39248787702557025,0.7393311654422097,0.20689655172413793,0.4805194805194805,3.1659088118514553
0.5,entropy,0.5,2,max,10,0.7422867513611615,0.39910827840412555,0.7395519691677707,0.20689655172413793,0.5,3.294925740698293
0.5,entropy,0.5,2,ewma_final,3,0.6733212341197822,0.427050341407096,0.7350355293267493,0.20689655172413793,0.48863636363636365,0.7414501582404239
0.5,entropy,0.5,2,ewma_final,5,0.6823956442831216,0.40188583732314354,0.7308402585410896,0.20689655172413793,0.4897959183673469,0.746656848364087
0.5,entropy,0.5,2,ewma_final,10,0.676950998185118,0.4214612793337302,0.7326066883455779,0.20689655172413793,0.48255813953488375,0.7489968145514666
0.5,entropy,0.5,2,ewma_max,3,0.7023593466424682,0.3815341716470504,0.735376771448071,0.20689655172413793,0.4906832298136646,1.9265570148443991
0.5,entropy,0.5,2,ewma_max,5,0.6932849364791288,0.4195232489001024,0.7476213416837287,0.20689655172413793,0.4924924924924925,1.9265570148443991
0.5,entropy,0.5,2,ewma_max,10,0.6860254083484574,0.41854304388460595,0.7447910393833554,0.20689655172413793,0.4896755162241888,1.9797102512562428
0.5,entropy,1.0,2,max,3,0.7259528130671506,0.4251645525067471,0.7514954434140271,0.20689655172413793,0.511326860841424,1.6803809282545792
0.5,entropy,1.0,2,max,5,0.7241379310344828,0.42857316116657523,0.7516359548757477,0.20689655172413793,0.5096774193548387,1.6827020558317929
0.5,entropy,1.0,2,max,10,0.7241379310344828,0.4225073092990392,0.7503914247862219,0.20689655172413793,0.5096774193548387,1.6827020558317929
0.5,entropy,1.0,2,ewma_final,3,0.8130671506352087,0.47854707107469485,0.761230880404673,0.20689655172413793,0.5381165919282511,0.6401282192657383
0.5,entropy,1.0,2,ewma_final,5,0.8112522686025408,0.47595041184359377,0.7619936569111566,0.20689655172413793,0.5315315315315315,0.6401282192657383
0.5,entropy,1.0,2,ewma_final,10,0.822141560798548,0.47312154690719976,0.7614115379983138,0.20689655172413793,0.5377358490566038,0.7056878375189306
0.5,entropy,1.0,2,ewma_max,3,0.7549909255898367,0.4272245075667378,0.7495483560158979,0.20689655172413793,0.5126353790613718,1.2255996527449047
0.5,entropy,1.0,2,ewma_max,5,0.7531760435571688,0.41420321236883073,0.7499498173350998,0.20689655172413793,0.5107913669064749,1.2263066386957975
0.5,entropy,1.0,2,ewma_max,10,0.7531760435571688,0.41734440774931875,0.7505520093139026,0.20689655172413793,0.5107913669064749,1.2263066386957975
0.5,surprisal,0.25,2,max,3,0.5698729582577132,0.28371587453432956,0.6605042354169176,0.20689655172413793,0.42891566265060244,7.264200210571289
0.5,surprisal,0.25,2,max,5,0.5226860254083484,0.27335540211163856,0.6468946966959733,0.20689655172413793,0.4194260485651214,6.28169059753418
0.5,surprisal,0.25,2,max,10,0.5716878402903811,0.30242536369192885,0.6603235778232768,0.20689655172413793,0.42718446601941745,7.428357124328613
0.5,surprisal,0.25,2,ewma_final,3,0.6442831215970962,0.32882758748485086,0.7013127785137901,0.20689655172413793,0.4673913043478261,0.5636857886801412
0.5,surprisal,0.25,2,ewma_final,5,0.6515426497277677,0.3273252174859858,0.696174073628006,0.20689655172413793,0.4725274725274725,0.5375746132195233
0.5,surprisal,0.25,2,ewma_final,10,0.6297640653357531,0.2903125916840387,0.6630735878598097,0.20689655172413793,0.42696629213483145,0.4963152089310219
0.5,surprisal,0.25,2,ewma_max,3,0.558983666061706,0.28719663182372895,0.6664057168091855,0.20689655172413793,0.43356643356643354,3.776718822731075
0.5,surprisal,0.25,2,ewma_max,5,0.5862068965517241,0.28073045283672404,0.6583363442932273,0.20689655172413793,0.4271356783919598,4.298558470859938
0.5,surprisal,0.25,2,ewma_max,10,0.5807622504537205,0.31086392807409147,0.6670480549199085,0.20689655172413793,0.43243243243243246,4.239136765014928
0.5,surprisal,0.5,2,max,3,0.5789473684210527,0.3113935063146739,0.6830864346220241,0.20689655172413793,0.4368932038834951,4.258969306945801
0.5,surprisal,0.5,2,max,5,0.5753176043557169,0.3028435571708778,0.6761210807338713,0.20689655172413793,0.4375,4.258969306945801
0.5,surprisal,0.5,2,max,10,0.6279491833030852,0.3075767055962509,0.6761612268657915,0.20689655172413793,0.450402144772118,5.048395156860352
0.5,surprisal,0.5,2,ewma_final,3,0.705989110707804,0.36858466611941554,0.7166887470392228,0.20689655172413793,0.47058823529411764,0.5252895982698722
0.5,surprisal,0.5,2,ewma_final,5,0.6678765880217786,0.36102560839851094,0.7123529647918423,0.20689655172413793,0.47863247863247865,0.3548904430797374
0.5,surprisal,0.5,2,ewma_final,10,0.6678765880217786,0.3389717450054556,0.7007105865349873,0.20689655172413793,0.46647230320699706,0.3647617092781624
0.5,surprisal,0.5,2,ewma_max,3,0.662431941923775,0.3206075367283145,0.691517122325264,0.20689655172413793,0.44970414201183434,3.000609088202733
0.5,surprisal,0.5,2,ewma_max,5,0.6134301270417423,0.3115703374884925,0.6827050463687824,0.20689655172413793,0.44675324675324674,2.6566544936231367
0.5,surprisal,0.5,2,ewma_max,10,0.6533575317604355,0.31819945405739863,0.683046288490104,0.20689655172413793,0.4619718309859155,3.096556541342144
0.5,surprisal,1.0,2,max,3,0.6606170598911071,0.33922345457228276,0.6968364848046891,0.20689655172413793,0.45161290322580644,3.0026168823242188
0.5,surprisal,1.0,2,max,5,0.6134301270417423,0.34413958980841386,0.6971175077281304,0.20689655172413793,0.44386422976501305,2.5841007232666016
0.5,surprisal,1.0,2,max,10,0.6569872958257713,0.3366263031761275,0.6958328315066843,0.20689655172413793,0.4489795918367347,3.0026168823242188
0.5,surprisal,1.0,2,ewma_final,3,0.6987295825771325,0.3940907246911011,0.723734393191216,0.20689655172413793,0.4713375796178344,0.26188826456227826
0.5,surprisal,1.0,2,ewma_final,5,0.6533575317604355,0.3938639204377748,0.7247380464892208,0.20689655172413793,0.4709141274238227,0.18238113800722716
0.5,surprisal,1.0,2,ewma_final,10,0.6987295825771325,0.3860738230786432,0.7200610221205187,0.20689655172413793,0.4713375796178344,0.26275801195521553
0.5,surprisal,1.0,2,ewma_max,3,0.6460980036297641,0.3503279862792334,0.6995463487093019,0.20689655172413793,0.4598337950138504,1.5914331209366666
0.5,surprisal,1.0,2,ewma_max,5,0.6460980036297641,0.35695589575529174,0.7023766510096752,0.20689655172413793,0.4598337950138504,1.5914417813180166
0.5,surprisal,1.0,2,ewma_max,10,0.6460980036297641,0.3497860871104644,0.7014131438435907,0.20689655172413793,0.4598337950138504,1.591443089351838
