ENTRY_Z,FEATURE,MIN_OBS,MIN_STD,NORM,WEIGHTED,WINDOW,accuracy,ap,auroc,base_rate,f1,threshold
2.5,surprisal,2,0.25,len,True,10,0.47186932849364793,0.26191666954876314,0.6104219358464812,0.20689655172413793,0.4024640657084189,0.0851734877954406
2.0,surprisal,5,0.25,none,False,5,0.6533575317604355,0.3423452040200123,0.6912260628688426,0.20689655172413793,0.45584045584045585,3.0
2.0,surprisal,2,0.5,none,True,10,0.6424682395644283,0.3385506968222617,0.6962041832269461,0.20689655172413793,0.4573002754820937,3.56576766644638
1.5,entropy,3,0.25,len,True,10,0.44101633393829404,0.2794247917276235,0.6186719659560801,0.20689655172413793,0.396078431372549,0.07075155824785652
1.5,entropy,2,0.25,sqrt,True,20,0.44101633393829404,0.3216618863813777,0.6446665863744028,0.20689655172413793,0.3984375,0.3235958463019467
2.5,surprisal,5,0.5,len,True,20,0.588021778584392,0.2930460284665746,0.6580954675017062,0.20689655172413793,0.43950617283950616,0.03542371810619975
2.0,entropy,3,0.25,len,True,5,0.47731397459165154,0.32344466391746046,0.6447468786382432,0.20689655172413793,0.4049586776859504,0.06911454479647641
2.0,entropy,5,0.5,none,True,10,0.7114337568058077,0.37159354785129195,0.7103556947288129,0.20689655172413793,0.4682274247491639,0.8032769725219668
1.5,surprisal,3,0.5,len,True,15,0.6388384754990926,0.3072571136152892,0.6668874703922277,0.20689655172413793,0.4456824512534819,0.1544708555454268
2.0,surprisal,3,1.0,sqrt,False,15,0.7114337568058077,0.3784694687303457,0.7032397928459593,0.20689655172413793,0.445993031358885,0.2508726030021272
3.0,surprisal,5,1.0,sqrt,True,5,0.7023593466424682,0.303127245553866,0.6638162913003333,0.20689655172413793,0.4533333333333333,0.01490496215951874
2.0,surprisal,5,0.5,sqrt,False,5,0.6823956442831216,0.38145144246910945,0.6964550965514472,0.20689655172413793,0.44089456869009586,0.41602514716892186
1.5,surprisal,3,0.25,len,True,10,0.5716878402903811,0.27290850647830334,0.630294271146975,0.20689655172413793,0.4129353233830846,0.25994271073579844
3.0,surprisal,3,0.25,sqrt,True,5,0.6842105263157895,0.3119662801928871,0.6729093901802561,0.20689655172413793,0.43137254901960786,1.7824575764368027
2.5,entropy,2,0.5,none,True,15,0.6606170598911071,0.35465412274769953,0.6833674575454655,0.20689655172413793,0.44837758112094395,0.014243294525974726
2.0,entropy,5,0.5,sqrt,False,15,0.705989110707804,0.3582086764230338,0.6924605564253884,0.20689655172413793,0.46357615894039733,0.2581988897471611
2.5,entropy,3,0.25,len,True,15,0.455535390199637,0.24942734373403086,0.5927777108675579,0.20689655172413793,0.40476190476190477,0.0003917183865556733
2.0,surprisal,3,0.25,sqrt,True,10,0.5862068965517241,0.29874476840222836,0.6668573607932876,0.20689655172413793,0.4271356783919598,1.2095863443327648
2.5,surprisal,2,0.5,len,True,15,0.6098003629764065,0.29081048843038276,0.6455096551447268,0.20689655172413793,0.4356955380577428,0.07461963824005012
1.5,surprisal,5,1.0,sqrt,True,20,0.6751361161524501,0.35317717070269605,0.706571921795335,0.20689655172413793,0.4624624624624625,0.2863028317094776
2.0,entropy,2,0.25,sqrt,True,20,0.41197822141560797,0.29793761404605706,0.6198261672487856,0.20689655172413793,0.39776951672862454,0.08043381129752208
0.5,surprisal,2,1.0,none,True,15,0.6715063520871143,0.3850768647322946,0.717371231281866,0.20689655172413793,0.4783861671469741,4.250427551427081
1.5,surprisal,2,0.5,len,True,10,0.5626134301270418,0.2961283078821566,0.6593600706571922,0.20689655172413793,0.4329411764705882,0.1188195051248411
1.5,surprisal,5,1.0,len,False,10,0.7295825771324864,0.3411699641906425,0.6858364446585572,0.20689655172413793,0.44609665427509293,0.06289308176100629
0.5,surprisal,5,1.0,len,False,5,0.7096188747731398,0.42575967648592855,0.7235336625316151,0.20689655172413793,0.4594594594594595,0.13725490196078433
2.0,entropy,3,0.5,sqrt,False,15,0.7096188747731398,0.35868920306878593,0.6932835521297523,0.20689655172413793,0.46308724832214765,0.28005601680560194
2.0,surprisal,3,0.25,len,True,15,0.49183303085299457,0.26886586516702327,0.611004054759324,0.20689655172413793,0.4092827004219409,0.11240221579274359
1.5,entropy,2,0.5,len,True,10,0.617059891107078,0.3863013511742454,0.7026978200650368,0.20689655172413793,0.45478036175710596,0.03970111622198656
0.5,surprisal,5,0.25,none,False,10,0.6696914700544465,0.37638312678022967,0.7018447147617327,0.20689655172413793,0.46153846153846156,5.0
1.0,surprisal,5,1.0,len,False,20,0.8058076225045372,0.4099968634014281,0.7250391424786222,0.20689655172413793,0.47804878048780486,0.12345679012345678
2.0,entropy,5,0.25,none,True,15,0.6333938294010889,0.33334652724208746,0.6569211931430406,0.20689655172413793,0.4127906976744186,2.3998956596794074
